step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,41,1,1.3870661540552973,0.0,0.6
2,90,2,1.2311526332137872,0.0,0.6
3,131,3,0.7229891853268491,0.0,0.7916666666666666
4,164,4,0.7773765470102081,0.0,0.7619047619047619
5,205,5,1.1629591894969344,0.0,0.5862068965517241
6,246,6,0.8547310169371777,0.0,0.6666666666666666
7,287,7,0.9773245210051537,0.0,0.5862068965517241
8,320,8,0.8742729580415471,0.0,0.6666666666666666
9,353,9,0.7112960655678762,0.0,0.5909090909090909
10,378,10,0.5885816834277162,0.0,0.5
11,403,11,0.8102961333994365,0.0,0.75
12,444,12,1.1572184389236282,0.0,0.5172413793103449
13,469,13,1.0578326446570765,0.0,0.8
14,518,14,0.6264089396547448,0.0,0.7096774193548387
15,559,15,0.6944606937763748,0.0,0.8148148148148148
16,592,16,0.8331422926734376,0.0,0.56
17,641,17,0.9238953787423574,0.0,0.6388888888888888
18,666,18,1.4155741237080657,0.0,0.5714285714285714
19,691,19,0.2800988285577235,0.0,0.8181818181818182
20,724,20,0.5940230660626549,0.0,0.75
21,765,21,0.6471205592170008,0.0,0.7777777777777778
22,806,22,0.6971254832445095,0.0,0.75
23,839,23,0.3794176167197293,0.0,0.8571428571428571
24,880,24,0.6731505763789173,0.0,0.6153846153846154
25,905,25,0.7997317377522752,0.0,0.5833333333333334
26,946,26,0.7764894209419363,0.0,0.6666666666666666
27,971,27,0.4780100465294284,0.0,0.8
28,996,28,0.2004415376350941,0.0,0.875
29,1037,29,0.440156901188253,0.0,0.76
30,1070,30,0.5566058834258001,0.0,0.76
31,1095,31,0.42892422532983493,0.0,0.8823529411764706
32,1136,32,0.8085779628835734,0.0,0.75
33,1153,33,2.05536331489624,0.0,0.3333333333333333
34,1178,34,0.25590588092600225,0.0,0.8333333333333334
35,1211,35,1.3084284424359975,0.0,0.6153846153846154
36,1252,36,0.23875556352314017,0.0,0.9629629629629629
37,1285,37,0.5166176803584677,0.0,0.8333333333333334
38,1326,38,0.4249859677203931,0.0,0.7407407407407407
39,1367,39,0.4861109904740006,0.0,0.8
40,1408,40,0.44998806785020906,0.0,0.896551724137931
41,1441,41,0.9590906141756568,0.0,0.64
42,1474,42,1.0090652199683245,0.0,0.5
43,1499,43,0.493612105792951,0.0,0.7272727272727273
44,1524,44,0.39052606973797077,0.0,0.7
45,1565,45,0.877850387974453,0.0,0.6538461538461539
46,1606,46,0.924639881678333,0.0,0.7352941176470589
47,1631,47,0.5774647553653145,0.0,0.7142857142857143
48,1656,48,0.5195208848714052,0.0,0.6470588235294118
49,1689,49,0.3182667564768781,0.0,0.8333333333333334
50,1730,50,0.6611885396951479,0.0,0.78125
51,1779,51,0.3694312554999366,0.0,0.8181818181818182
52,1812,52,0.33703910828742667,0.0,0.8636363636363636
53,1845,53,1.2119217360533368,0.0,0.7307692307692307
54,1862,54,1.2355900669237598,0.0,0.6666666666666666
55,1903,55,0.8483750652023592,0.0,0.696969696969697
56,1936,56,0.7734110082825646,0.0,0.5263157894736842
57,1977,57,0.44632481724722317,0.0,0.8148148148148148
58,2018,58,0.37505053910600694,0.0,0.8214285714285714
59,2067,59,0.8774597145702622,0.0,0.8108108108108109
60,2100,60,0.8090083460239111,0.0,0.6363636363636364
61,2141,61,1.0967258803738624,0.0,0.6129032258064516
62,2174,62,0.5866445015404679,0.0,0.7083333333333334
63,2207,63,0.23756060967683879,0.0,0.85
64,2256,64,0.7042992430685732,0.0,0.7428571428571429
65,2297,65,0.6514477686425089,0.0,0.7575757575757576
66,2338,66,0.8233046020342517,0.0,0.6551724137931034
67,2363,67,0.5400346437329426,0.0,0.6666666666666666
68,2396,68,0.2934608843932801,0.0,0.9130434782608695
69,2429,69,0.8467659209861378,0.0,0.5789473684210527
70,2462,70,0.18937366258935073,0.0,0.8888888888888888
71,2503,71,0.6481672515827231,0.0,0.7241379310344828
72,2544,72,0.5898577774379519,0.0,0.8181818181818182
73,2585,73,0.8922702876757831,0.0,0.7096774193548387
74,2626,74,0.8532303925618763,0.0,0.6875
75,2667,75,0.47663187967776327,0.0,0.7142857142857143
76,2700,76,0.516414033242836,0.0,0.6190476190476191
77,2741,77,0.5817043529042276,0.0,0.7407407407407407
78,2782,78,0.8528417007460958,0.0,0.5769230769230769
79,2807,79,0.2766321770579088,0.0,0.875
80,2840,80,0.33023371259201667,0.0,0.8571428571428571
81,2873,81,0.1261430958917481,0.0,0.9047619047619048
82,2898,82,0.3055667725215744,0.0,0.8181818181818182
83,2947,83,0.7438895670100221,0.0,0.7
84,2996,84,0.8316205965463934,0.0,0.6285714285714286
85,3021,85,0.2493340957366551,0.0,0.8888888888888888
86,3046,86,0.6939233697516223,0.0,0.45454545454545453
87,3087,87,1.1058884187301155,0.0,0.6666666666666666
88,3112,88,0.3361057957452916,0.0,0.5833333333333334
89,3169,89,0.7963904600159288,0.0,0.7111111111111111
90,3202,90,0.7307501832392154,0.0,0.6956521739130435
91,3235,91,0.6944221633993038,0.0,0.6956521739130435
92,3268,92,0.6245431908537649,0.0,0.6666666666666666
93,3293,93,0.5361805996329834,0.0,0.6666666666666666
94,3334,94,1.0478493395602855,0.0,0.5517241379310345
95,3375,95,0.6692549535693252,0.0,0.6428571428571429
96,3392,96,0.1358509181678528,0.0,0.9090909090909091
97,3433,97,0.8891405957548415,0.0,0.7096774193548387
98,3466,98,0.11341150720894802,1.0,1.0
99,3491,99,0.7311810746296153,0.0,0.7142857142857143
100,3548,100,0.7821158866480462,0.0,0.7272727272727273
101,3589,101,0.8986206236183645,0.0,0.5
102,3630,102,0.9277822104018706,0.0,0.6
103,3663,103,0.2465328493819834,0.0,0.9523809523809523
104,3704,104,0.8239368007024752,0.0,0.6785714285714286
105,3745,105,0.8415751932849672,0.0,0.7575757575757576
106,3778,106,0.05719996731480933,1.0,1.0
107,3819,107,0.8630648438430364,0.0,0.8
108,3868,108,0.6361149059536,0.0,0.7435897435897436
109,3901,109,0.3275218881844194,0.0,0.9090909090909091
110,3942,110,0.4388644275576808,0.0,0.7777777777777778
111,3967,111,0.15528271745851574,0.0,0.9230769230769231
112,4016,112,0.5164599057056997,0.0,0.75
113,4065,113,0.3795780343218818,0.0,0.8285714285714286
114,4106,114,0.5132638555308804,0.0,0.7692307692307693
115,4147,115,0.718216296481098,0.0,0.5925925925925926
116,4188,116,0.6115128067201295,0.0,0.8125
117,4229,117,0.8446547815010418,0.0,0.7
118,4262,118,0.1283384968159953,0.0,0.9444444444444444
119,4287,119,1.0720511988166255,0.0,0.5
120,4312,120,0.23370441678345136,0.0,0.9285714285714286
121,4345,121,0.23074913095944793,0.0,0.9545454545454546
122,4386,122,0.12312149244785542,0.0,0.9565217391304348
123,4427,123,0.9786570135875373,0.0,0.6071428571428571
124,4452,124,0.3844821005659954,0.0,0.7692307692307693
125,4485,125,0.5682725408941042,0.0,0.75
126,4534,126,0.5909556253826365,0.0,0.8048780487804879
127,4567,127,0.9324835957528558,0.0,0.55
128,4616,128,0.994801859469265,0.0,0.7073170731707317
129,4657,129,0.6917831898244476,0.0,0.78125
130,4690,130,1.0816868880808874,0.0,0.6086956521739131
131,4723,131,0.443391621291521,0.0,0.7916666666666666
132,4756,132,0.13969540536869318,0.0,0.8888888888888888
133,4781,133,0.7983922022115438,0.0,0.7058823529411765
134,4806,134,0.75003597120638,0.0,0.75
135,4831,135,0.15502718425132722,0.0,0.9166666666666666
136,4872,136,3.2314577278590875,0.0,0.5
137,4905,137,0.7760265836655799,0.0,0.7391304347826086
138,4946,138,0.3640559476798899,0.0,0.8333333333333334
139,4987,139,0.7353098519569685,0.0,0.7941176470588235
140,5012,140,0.2741981006090646,0.0,0.9285714285714286
141,5037,141,0.14803769456959986,1.0,1.0
142,5062,142,0.5454514301257829,0.0,0.7333333333333333
143,5095,143,0.279498799738958,0.0,0.8888888888888888
144,5128,144,0.10656188957938867,1.0,1.0
145,5169,145,0.7592281043786353,0.0,0.6875
146,5194,146,0.4230894689300718,0.0,0.6153846153846154
147,5235,147,0.37760591720481174,0.0,0.7777777777777778
148,5276,148,0.6882092602896664,0.0,0.8076923076923077
149,5301,149,0.597606249423649,0.0,0.8125
150,5326,150,0.33151993257883833,0.0,0.9411764705882353
151,5359,151,0.3616859970318933,0.0,0.8695652173913043
152,5376,152,0.5235239883931354,0.0,0.7272727272727273
153,5409,153,0.6711502867806121,0.0,0.7142857142857143
154,5434,154,0.40379150652016205,0.0,0.7272727272727273
155,5467,155,0.06642681700489256,0.0,0.9411764705882353
156,5492,156,0.5759943948662839,0.0,0.7647058823529411
157,5517,157,0.5325574201531708,0.0,0.8235294117647058
158,5542,158,0.1814726348425999,0.0,0.9230769230769231
159,5575,159,0.3621919124299893,0.0,0.782608695652174
160,5608,160,0.7539904503159051,0.0,0.6666666666666666
161,5641,161,0.7993073010558146,0.0,0.6956521739130435
162,5682,162,0.6085974496537312,0.0,0.8125
163,5723,163,0.33602314504752484,0.0,0.8260869565217391
164,5764,164,0.7196814286684913,0.0,0.7741935483870968
165,5797,165,0.21358498330220754,0.0,0.88
166,5822,166,0.2905814353753036,0.0,0.9411764705882353
167,5847,167,0.04765099408832611,1.0,1.0
168,5888,168,0.24848130264129942,0.0,0.9259259259259259
169,5937,169,0.4681321016686767,0.0,0.8571428571428571
170,5986,170,0.3746986996604149,0.0,0.8780487804878049
171,6011,171,0.07499955616915638,1.0,1.0
172,6044,172,0.2646363973586267,0.0,0.8571428571428571
173,6069,173,0.19542519378051415,1.0,1.0
174,6110,174,0.3900800491363625,0.0,0.8333333333333334
175,6151,175,0.3418963071552498,0.0,0.9090909090909091
176,6184,176,0.08597968741871227,0.0,0.9545454545454546
177,6209,177,0.07907105765792949,1.0,1.0
178,6242,178,0.15724194906862976,0.0,0.9545454545454546
179,6283,179,0.36233957365725655,0.0,0.84375
180,6308,180,0.12556642944907553,0.0,0.9411764705882353
181,6349,181,0.13586588960604626,0.0,0.9583333333333334
182,6390,182,0.3022853966482799,0.0,0.8846153846153846
183,6423,183,0.03604823406556534,1.0,1.0
184,6464,184,0.3207197989130982,0.0,0.8518518518518519
185,6505,185,0.6062631032108039,0.0,0.78125
186,6538,186,0.8662728269281433,0.0,0.6923076923076923
187,6579,187,0.28536644080918105,0.0,0.90625
188,6620,188,0.2102523544416763,0.0,0.8846153846153846
189,6661,189,0.22881165479653753,0.0,0.9166666666666666
190,6694,190,0.4558360533453788,0.0,0.8095238095238095
191,6743,191,0.11226959453316643,0.0,0.9393939393939394
192,6768,192,0.03874668246154518,1.0,1.0
193,6793,193,0.06382713289310535,1.0,1.0
194,6826,194,0.025059812337385665,1.0,1.0
195,6859,195,0.2643349393812333,0.0,0.9130434782608695
196,6884,196,0.2649154138712523,0.0,0.8666666666666667
197,6917,197,0.3526303481669538,0.0,0.782608695652174
198,6958,198,0.45722014841997594,0.0,0.8484848484848485
199,6999,199,0.35276550578854404,0.0,0.8823529411764706
200,7040,200,0.8911274001963776,0.0,0.7352941176470589
201,7065,201,0.3137448681532017,0.0,0.8
202,7098,202,0.15207401567821308,0.0,0.9545454545454546
203,7131,203,0.2936970060768476,0.0,0.8095238095238095
204,7172,204,0.017708286484696144,1.0,1.0
205,7205,205,0.8180960192393104,0.0,0.7307692307692307
206,7246,206,0.41813512378407175,0.0,0.8666666666666667
207,7295,207,0.3441092123935656,0.0,0.8888888888888888
208,7320,208,0.1381393027876038,0.0,0.9090909090909091
209,7353,209,0.10446132768605822,0.0,0.9545454545454546
210,7378,210,0.27572486587256817,0.0,0.7857142857142857
211,7411,211,0.7023738784034503,0.0,0.8
212,7452,212,0.30388602277089377,0.0,0.8214285714285714
213,7493,213,0.7119022186141228,0.0,0.6551724137931034
214,7534,214,0.3246153011202466,0.0,0.90625
215,7559,215,0.3288351652751104,0.0,0.9411764705882353
216,7608,216,0.3722421228602881,0.0,0.8717948717948718
217,7649,217,0.15105881898463125,0.0,0.9259259259259259
218,7682,218,0.13553924224751654,0.0,0.9166666666666666
219,7723,219,0.2628441588387232,0.0,0.8846153846153846
220,7772,220,0.43763849328748394,0.0,0.8292682926829268
221,7805,221,0.5762686998087179,0.0,0.8181818181818182
222,7838,222,0.5117086566406854,0.0,0.7368421052631579
223,7871,223,0.14299808410836704,0.0,0.96
224,7888,224,1.3535402016851732,0.0,0.6666666666666666
225,7937,225,0.5796259893872547,0.0,0.6774193548387096
226,7970,226,0.1640811462960994,0.0,0.9444444444444444
227,8011,227,0.2007458114637245,0.0,0.9285714285714286
228,8052,228,0.236947371902872,0.0,0.8928571428571429
229,8077,229,0.3768951122916769,0.0,0.8571428571428571
230,8118,230,0.612114408378955,0.0,0.8181818181818182
231,8135,231,0.05166420682804528,1.0,1.0
232,8160,232,0.1161452463616547,0.0,0.9375
233,8193,233,0.10324934218165595,1.0,1.0
