step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,41,1,1.7413085680548102,0.0,0.3793103448275862
2,74,2,0.6339898561730706,0.0,0.7222222222222222
3,131,3,0.6540088316688863,0.0,0.7804878048780488
4,156,4,1.4789095277277131,0.0,0.5714285714285714
5,197,5,0.9563093623189197,0.0,0.6785714285714286
6,238,6,1.0752517272136175,0.0,0.6551724137931034
7,279,7,1.2102971602110193,0.0,0.5925925925925926
8,320,8,0.911637495115516,0.0,0.6296296296296297
9,345,9,0.7299525764097536,0.0,0.7058823529411765
10,386,10,0.8094974624589085,0.0,0.5555555555555556
11,419,11,0.7088373153773136,0.0,0.75
12,452,12,0.9430303270474542,0.0,0.7
13,493,13,0.8489771123086103,0.0,0.75
14,542,14,0.9910561745586649,0.0,0.6285714285714286
15,567,15,0.9375226893664027,0.0,0.36363636363636365
16,624,16,0.7407944427719796,0.0,0.8222222222222222
17,657,17,0.8280563556886773,0.0,0.6956521739130435
18,690,18,0.5118606001614535,0.0,0.7619047619047619
19,715,19,0.32542103495293606,0.0,0.7272727272727273
20,764,20,3.1336087192893682,0.0,0.4
21,805,21,0.7486147594216747,0.0,0.6666666666666666
22,830,22,0.4833977444997678,0.0,0.6666666666666666
23,895,23,0.9388132377271541,0.0,0.5882352941176471
24,920,24,0.2423002968872121,0.0,0.8571428571428571
25,977,25,2.4179223932251883,0.0,0.4222222222222222
26,1002,26,0.9900791470861684,0.0,0.7333333333333333
27,1051,27,0.858938735332728,0.0,0.6176470588235294
28,1100,28,0.44983286095820474,0.0,0.8181818181818182
29,1141,29,0.6419286907961548,0.0,0.7575757575757576
30,1174,30,0.7192271890641385,0.0,0.5789473684210527
31,1215,31,0.47519799608295576,0.0,0.75
32,1248,32,0.7374033037736081,0.0,0.7727272727272727
33,1297,33,0.5057086143138424,0.0,0.7083333333333334
34,1330,34,0.6862000564206392,0.0,0.6666666666666666
35,1363,35,0.9502729530670331,0.0,0.6296296296296297
36,1388,36,0.3744623583516416,0.0,0.875
37,1429,37,0.3077977132649685,0.0,0.8518518518518519
38,1470,38,0.8417878969340091,0.0,0.6363636363636364
39,1503,39,1.070358980814344,0.0,0.6538461538461539
40,1552,40,0.6981458959332182,0.0,0.7297297297297297
41,1593,41,0.41055359798565044,0.0,0.8846153846153846
42,1610,42,0.13565183934522793,1.0,1.0
43,1643,43,0.23172850863113126,0.0,0.8695652173913043
44,1684,44,0.8298316941931262,0.0,0.5
45,1725,45,0.6658677494551021,0.0,0.7586206896551724
46,1758,46,0.7254792094380172,0.0,0.7619047619047619
47,1791,47,0.36328626579542,0.0,0.782608695652174
48,1824,48,0.38011728101460907,0.0,0.8333333333333334
49,1865,49,0.7504532947411063,0.0,0.7142857142857143
50,1882,50,0.6408396825188538,0.0,0.7272727272727273
51,1923,51,0.9370247696235019,0.0,0.6785714285714286
52,1948,52,1.0069832285050142,0.0,0.7
53,1965,53,1.4080771367340095,0.0,0.5555555555555556
54,2006,54,1.0107553992250249,0.0,0.7
55,2031,55,0.3814929555306056,0.0,0.8
56,2056,56,0.587462299871889,0.0,0.7692307692307693
57,2097,57,1.1123292264417077,0.0,0.5172413793103449
58,2122,58,0.48917919052871484,0.0,0.8
59,2163,59,0.8305610900507738,0.0,0.6333333333333333
60,2196,60,0.0786626854844917,0.0,0.9411764705882353
61,2237,61,0.5827141427702737,0.0,0.7333333333333333
62,2262,62,0.7916208474613571,0.0,0.7222222222222222
63,2287,63,0.37593114196720984,0.0,0.8125
64,2328,64,0.6819458056009609,0.0,0.6296296296296297
65,2361,65,0.3248518408410018,0.0,0.8571428571428571
66,2394,66,1.1201942919226713,0.0,0.7407407407407407
67,2443,67,0.48582271584017384,0.0,0.8285714285714286
68,2476,68,0.5390014919000896,0.0,0.75
69,2501,69,0.5789353295582501,0.0,0.5833333333333334
70,2534,70,0.27944468072382733,0.0,0.8095238095238095
71,2567,71,0.3362232260881865,0.0,0.8333333333333334
72,2608,72,0.8301401448560647,0.0,0.6
73,2633,73,0.4460064569744281,0.0,0.7272727272727273
74,2666,74,0.6007629050666583,0.0,0.6666666666666666
75,2699,75,0.639779606123193,0.0,0.65
76,2748,76,0.9129654673260907,0.0,0.6486486486486487
77,2781,77,0.18248576482583304,0.0,0.9047619047619048
78,2822,78,0.38849506145063795,0.0,0.7777777777777778
79,2879,79,1.5975621303189265,0.0,0.6170212765957447
80,2920,80,0.812760928025702,0.0,0.5357142857142857
81,2953,81,0.6611247941843248,0.0,0.6521739130434783
82,2994,82,0.6491575435400592,0.0,0.6428571428571429
83,3019,83,0.32044913555117094,0.0,0.7272727272727273
84,3060,84,0.839888823945541,0.0,0.6451612903225806
85,3101,85,0.5895892674485804,0.0,0.7142857142857143
86,3126,86,0.6024277452666622,0.0,0.75
87,3159,87,0.18640494639856114,0.0,0.8888888888888888
88,3200,88,0.7910809647260795,0.0,0.7241379310344828
89,3241,89,0.46981299483312616,0.0,0.8076923076923077
90,3298,90,0.7369956681514148,0.0,0.7272727272727273
91,3339,91,0.3644175663020942,0.0,0.9166666666666666
92,3364,92,0.3866133405169239,0.0,0.6666666666666666
93,3413,93,0.5302639367139514,0.0,0.8333333333333334
94,3446,94,0.42279208550025943,0.0,0.8
95,3487,95,0.5001422990607244,0.0,0.7741935483870968
96,3520,96,0.39843172081050854,0.0,0.8928571428571429
97,3545,97,0.16359030016862863,0.0,0.9230769230769231
98,3570,98,0.5877345877435679,0.0,0.8
99,3603,99,0.6275376062905706,0.0,0.7391304347826086
100,3652,100,0.7222261759410442,0.0,0.7567567567567568
101,3677,101,0.5137703859406368,0.0,0.8235294117647058
102,3702,102,0.4242434274467329,0.0,0.8823529411764706
